id,module_code,module,submodule,feature,origin,source,status,backend,frontend,tests,docs,depends_on,notes
STRAT-001,STRAT,Marketing Strategy & Research,Research and assessment,MSP marketing assessment,Feature Inventory,Inventory §1 p.3,Tested,Done,Done,tests/Feature/Qa/StrategyInsightsTest.php,Pending,,"Computed by StrategyInsights from the tenant's own records and surfaced on /strategy (workspace for the human half was already tested). Composite marketing assessment: issue counts (CRM hygiene, funnel gaps, PPC flags, unconverted sources, capture-less pages, keyword opportunities) vs strengths (page-one keywords, won deals, funnels)."
STRAT-002,STRAT,Marketing Strategy & Research,Research and assessment,Current marketing audit,Feature Inventory,Inventory §1 p.3,Tested,Done,Done,tests/Feature/Qa/StrategyInsightsTest.php,Pending,,"Computed by StrategyInsights from the tenant's own records and surfaced on /strategy (workspace for the human half was already tested). The current-marketing audit is the same computed composite, refreshed on every page load - an always-current audit rather than a one-off document."
STRAT-003,STRAT,Marketing Strategy & Research,Research and assessment,Competitor analysis,Feature Inventory,Inventory §1 p.3,Tested,Done,Done,tests/Feature/Qa/StrategyInsightsTest.php,Pending,,"Computed by StrategyInsights from the tenant's own records and surfaced on /strategy (workspace for the human half was already tested). Competitor analysis: share of voice, keyword head-to-head (measured/leading counts) and AI recommendation share via CompetitiveService."
STRAT-004,STRAT,Marketing Strategy & Research,Research and assessment,Market competitiveness analysis,Feature Inventory,Inventory §1 p.3,Tested,Done,Done,tests/Feature/Qa/StrategyInsightsTest.php,Pending,,Computed by StrategyInsights from the tenant's own records and surfaced on /strategy (workspace for the human half was already tested). Market competitiveness: leading-vs-measured keyword ratio + AI share quantify competitive position from recorded checks.
STRAT-005,STRAT,Marketing Strategy & Research,Research and assessment,Total Addressable Market analysis,Feature Inventory,Inventory §1 p.3,Partially Implemented,Done,Done,Partial,Pending,,TAM needs external market data (firmographic databases) - cannot be computed honestly from tenant records.
STRAT-006,STRAT,Marketing Strategy & Research,Research and assessment,Ideal Customer Profile development,Feature Inventory,Inventory §1 p.3,Tested,Done,Done,tests/Feature/Qa/StrategyInsightsTest.php,Pending,,"Computed by StrategyInsights from the tenant's own records and surfaced on /strategy (workspace for the human half was already tested). Data-driven ICP: top industries, top sources and median MRR of closed-won deals; refuses to profile with zero wins (insufficient_data)."
STRAT-007,STRAT,Marketing Strategy & Research,Research and assessment,MSP buyer persona development,Feature Inventory,Inventory §1 p.3,Partially Implemented,Done,Done,Partial,Pending,,"Persona development is qualitative; the data-driven ICP (STRAT-006) and buying-role data feed it, the narrative stays human workspace work."
STRAT-008,STRAT,Marketing Strategy & Research,Research and assessment,Buyer pain-point research,Feature Inventory,Inventory §1 p.3,Partially Implemented,Done,Done,Partial,Pending,,Pain-point research is qualitative interview work; recorded in the strategy workspace.
STRAT-009,STRAT,Marketing Strategy & Research,Research and assessment,Buyer journey mapping,Feature Inventory,Inventory §1 p.3,Partially Implemented,Done,Done,Partial,Pending,,Journey mapping narrative stays human; the measured funnel/conversion chain feeds it.
STRAT-010,STRAT,Marketing Strategy & Research,Research and assessment,Search-intent research,Feature Inventory,Inventory §1 p.3,Tested,Done,Done,tests/Feature/Qa/StrategyInsightsTest.php,Pending,,Computed by StrategyInsights from the tenant's own records and surfaced on /strategy (workspace for the human half was already tested). Search-intent research: intent mix across tracked keywords.
