id,method,uri,name,module,access,permission,verified_by
RT-001,GET,/,home,Public Site,public,,
RT-002,GET,ads,ads.dashboard,Advertising,public,,
RT-003,DELETE,ads/ads/{ad},ads.ads.destroy,Advertising,public,,
RT-004,GET,ads/campaigns,ads.campaigns.index,Advertising,public,,
RT-005,POST,ads/campaigns,ads.campaigns.store,Advertising,public,,
RT-006,GET,ads/campaigns/{campaign},ads.campaigns.show,Advertising,public,,
RT-007,PATCH,ads/campaigns/{campaign},ads.campaigns.update,Advertising,public,,
RT-008,DELETE,ads/campaigns/{campaign},ads.campaigns.destroy,Advertising,public,,
RT-009,POST,ads/campaigns/{campaign}/groups,ads.groups.store,Advertising,public,,
RT-010,POST,ads/campaigns/{campaign}/refresh-metrics,ads.campaigns.refresh-metrics,Advertising,public,,
RT-011,POST,ads/campaigns/{campaign}/status,ads.campaigns.status,Advertising,public,,
RT-012,DELETE,ads/groups/{group},ads.groups.destroy,Advertising,public,,
RT-013,POST,ads/groups/{group}/ads,ads.ads.store,Advertising,public,,
RT-014,POST,ads/groups/{group}/keywords,ads.keywords.store,Advertising,public,,
RT-015,DELETE,ads/keywords/{keyword},ads.keywords.destroy,Advertising,public,,
RT-016,GET,ads/retargeting,ads.retargeting.index,Advertising,public,,
RT-017,POST,ads/retargeting,ads.retargeting.store,Advertising,public,,
RT-018,DELETE,ads/retargeting/{audience},ads.retargeting.destroy,Advertising,public,,
RT-019,POST,ads/retargeting/{audience}/rebuild,ads.retargeting.rebuild,Advertising,public,,
RT-020,GET,ai,ai.dashboard,AI,public,,
RT-021,GET,ai/actions,ai.actions.index,AI,public,,
RT-022,POST,ai/actions/{action}/approve,ai.actions.approve,AI,public,,
RT-023,POST,ai/actions/{action}/reject,ai.actions.reject,AI,public,,
RT-024,GET,ai/agent,ai.agent.index,AI,public,,
RT-025,POST,ai/agent/crm-update,ai.agent.crm-update,AI,public,,
RT-026,POST,ai/agent/objection,ai.agent.objection,AI,public,,
RT-027,POST,ai/agent/run,ai.agent.run,AI,public,,
RT-028,GET,ai/conversations,ai.conversations.index,AI,public,,
RT-029,POST,ai/conversations,ai.conversations.store,AI,public,,
RT-030,POST,ai/conversations/{conversation}/reply,ai.conversations.reply,AI,public,,
RT-031,POST,ai/conversations/{conversation}/summarize,ai.conversations.summarize,AI,public,,
RT-032,GET,ai/prompts,ai.prompts.index,AI,public,,
RT-033,POST,ai/prompts/activate,ai.prompts.activate,AI,public,,
RT-034,POST,ai/prompts/publish,ai.prompts.publish,AI,public,,
RT-035,GET,ai/visibility,ai.visibility.index,AI,public,,
RT-036,POST,ai/visibility/prompts,ai.visibility.prompts.store,AI,public,,
RT-037,DELETE,ai/visibility/prompts/{prompt},ai.visibility.prompts.destroy,AI,public,,
RT-038,POST,ai/visibility/run,ai.visibility.run,AI,public,,
RT-039,GET,analytics,analytics.dashboard,Analytics,public,,journey-test
RT-040,GET,analytics/attribution,analytics.attribution.index,Analytics,public,,journey-test
RT-041,GET,analytics/benchmarks,analytics.benchmarks.index,Analytics,public,,
RT-042,GET,analytics/calls,analytics.calls.index,Analytics,public,,
RT-043,POST,analytics/calls,analytics.calls.store,Analytics,public,,
RT-044,POST,analytics/calls/numbers,analytics.calls.numbers.store,Analytics,public,,
RT-045,DELETE,analytics/calls/numbers/{number},analytics.calls.numbers.destroy,Analytics,public,,
RT-046,POST,analytics/calls/{call}/convert,analytics.calls.convert,Analytics,public,,
RT-047,GET,analytics/competitors,analytics.competitors.index,Analytics,public,,
RT-048,POST,analytics/competitors,analytics.competitors.store,Analytics,public,,
RT-049,PATCH,analytics/competitors/{competitor},analytics.competitors.update,Analytics,public,,
RT-050,DELETE,analytics/competitors/{competitor},analytics.competitors.destroy,Analytics,public,,
RT-051,GET,analytics/experiments,analytics.experiments.index,Analytics,public,,
RT-052,POST,analytics/experiments,analytics.experiments.store,Analytics,public,,
RT-053,POST,analytics/experiments/variants/{variant}/record,analytics.experiments.record,Analytics,public,,
RT-054,DELETE,analytics/experiments/{experiment},analytics.experiments.destroy,Analytics,public,,
RT-055,POST,analytics/experiments/{experiment}/conclude,analytics.experiments.conclude,Analytics,public,,
RT-056,POST,analytics/experiments/{experiment}/start,analytics.experiments.start,Analytics,public,,
RT-057,GET,analytics/growth-score,analytics.growth-score.index,Analytics,public,,
RT-058,POST,analytics/growth-score/snapshot,analytics.growth-score.snapshot,Analytics,public,,
RT-059,GET,analytics/omnichannel,analytics.omnichannel.index,Analytics,public,,
RT-060,GET,api/user,,Public API,public,,
RT-061,GET,api/v1/companies,api.v1.companies.index,Public API,public,,
RT-062,GET,api/v1/companies/{company},api.v1.companies.show,Public API,public,,
RT-063,GET,api/v1/contacts,api.v1.contacts.index,Public API,public,,
RT-064,POST,api/v1/contacts,api.v1.contacts.store,Public API,public,,
RT-065,GET,api/v1/contacts/{contact},api.v1.contacts.show,Public API,public,,
RT-066,GET,api/v1/deals,api.v1.deals.index,Public API,public,,
RT-067,GET,api/v1/deals/{deal},api.v1.deals.show,Public API,public,,
RT-068,GET,b/{slug},public.booking.show,Public Booking,public,,
RT-069,POST,b/{slug},public.booking.book,Public Booking,public,,
RT-070,GET,billing,billing.index,Billing,public,,feature-tests
RT-071,GET,billing/checkout,billing.checkout.show,Billing,public,,feature-tests
RT-072,POST,billing/checkout,billing.checkout.store,Billing,public,,feature-tests
RT-073,GET,billing/invoices,billing.invoices.index,Billing,public,,feature-tests
RT-074,GET,billing/invoices/{invoice},billing.invoices.show,Billing,public,,feature-tests
RT-075,GET,billing/plans,billing.plans,Billing,public,,feature-tests
RT-076,PATCH,billing/profile,billing.profile.update,Billing,public,,feature-tests
RT-077,PATCH,billing/subscription,billing.subscription.update,Billing,public,,feature-tests
RT-078,POST,billing/subscription/cancel,billing.subscription.cancel,Billing,public,,feature-tests
RT-079,POST,billing/subscription/resume,billing.subscription.resume,Billing,public,,feature-tests
RT-080,GET,chat,chat.inbox,Website Chat,public,,feature-tests
RT-081,GET,chat/analytics,chat.analytics,Website Chat,public,,feature-tests
RT-082,GET,chat/conversations/{conversation},chat.conversations.show,Website Chat,public,,feature-tests
RT-083,PATCH,chat/conversations/{conversation},chat.conversations.update,Website Chat,public,,feature-tests
RT-084,POST,chat/conversations/{conversation}/note,chat.conversations.note,Website Chat,public,,feature-tests
RT-085,GET,chat/conversations/{conversation}/poll,chat.conversations.poll,Website Chat,public,,feature-tests
RT-086,POST,chat/conversations/{conversation}/reply,chat.conversations.reply,Website Chat,public,,feature-tests
RT-087,POST,chat/conversations/{conversation}/summarize,chat.conversations.summarize,Website Chat,public,,feature-tests
RT-088,POST,chat/presence,chat.presence.update,Website Chat,public,,feature-tests
RT-089,POST,chat/presence/heartbeat,chat.presence.heartbeat,Website Chat,public,,feature-tests
RT-090,GET,chat/widgets,chat.widgets.index,Website Chat,public,,feature-tests
RT-091,POST,chat/widgets,chat.widgets.store,Website Chat,public,,feature-tests
RT-092,PATCH,chat/widgets/{widget},chat.widgets.update,Website Chat,public,,feature-tests
RT-093,DELETE,chat/widgets/{widget},chat.widgets.destroy,Website Chat,public,,feature-tests
RT-094,GET,chat/widgets/{widget}/flow,chat.flow.edit,Website Chat,public,,feature-tests
RT-095,PUT,chat/widgets/{widget}/flow,chat.flow.update,Website Chat,public,,feature-tests
RT-096,POST,chat/widgets/{widget}/flow/template,chat.flow.template,Website Chat,public,,feature-tests
RT-097,POST,chat/widgets/{widget}/flow/test,chat.flow.test,Website Chat,public,,feature-tests
RT-098,POST,chat/widgets/{widget}/flow/validate,chat.flow.validate,Website Chat,public,,feature-tests
RT-099,GET,chat/widgets/{widget}/settings,chat.widgets.edit,Website Chat,public,,feature-tests
RT-100,GET,confirm-password,password.confirm,Auth,public,,
RT-101,POST,confirm-password,,Auth,public,,
RT-102,GET,content,content.dashboard,Content,public,,
RT-103,GET,content/outreach,content.outreach.index,Content,public,,
RT-104,POST,content/outreach,content.outreach.store,Content,public,,
RT-105,DELETE,content/outreach/prospects/{prospect},content.outreach.prospects.destroy,Content,public,,
RT-106,POST,content/outreach/prospects/{prospect}/placement,content.outreach.prospects.placement,Content,public,,
RT-107,POST,content/outreach/prospects/{prospect}/status,content.outreach.prospects.status,Content,public,,
RT-108,DELETE,content/outreach/{campaign},content.outreach.destroy,Content,public,,
RT-109,POST,content/outreach/{campaign}/prospects,content.outreach.prospects.store,Content,public,,
RT-110,GET,content/pieces,content.pieces.index,Content,public,,
RT-111,POST,content/pieces,content.pieces.store,Content,public,,
RT-112,GET,content/pieces/{piece},content.pieces.show,Content,public,,
RT-113,PATCH,content/pieces/{piece},content.pieces.update,Content,public,,
RT-114,DELETE,content/pieces/{piece},content.pieces.destroy,Content,public,,
RT-115,POST,content/pieces/{piece}/status,content.pieces.status,Content,public,,
RT-116,GET,content/reputation,content.reputation.index,Content,public,,
RT-117,POST,content/reputation/assets,content.reputation.assets.store,Content,public,,
RT-118,DELETE,content/reputation/assets/{asset},content.reputation.assets.destroy,Content,public,,
RT-119,POST,content/reputation/import,content.reputation.import,Content,public,,
RT-120,POST,content/reputation/requests,content.reputation.requests.store,Content,public,,
RT-121,POST,content/reputation/requests/{reviewRequest}/send,content.reputation.requests.send,Content,public,,
RT-122,POST,content/reputation/reviews,content.reputation.reviews.store,Content,public,,
RT-123,POST,content/reputation/reviews/{review}/respond,content.reputation.reviews.respond,Content,public,,
RT-124,GET,content/social,content.social.index,Content,public,,
RT-125,POST,content/social,content.social.store,Content,public,,
RT-126,DELETE,content/social/{post},content.social.destroy,Content,public,,
RT-127,POST,content/social/{post}/publish,content.social.publish,Content,public,,
RT-128,POST,content/social/{post}/refresh-metrics,content.social.refresh-metrics,Content,public,,
RT-129,POST,content/social/{post}/schedule,content.social.schedule,Content,public,,
RT-130,POST,crm/activities,crm.activities.store,CRM,public,,
RT-131,DELETE,crm/activities/{activity},crm.activities.destroy,CRM,public,,
RT-132,PATCH,crm/activities/{activity}/complete,crm.activities.complete,CRM,public,,
RT-133,GET,crm/companies,crm.companies.index,CRM,public,,
RT-134,POST,crm/companies,crm.companies.store,CRM,public,,journey-test
RT-135,GET,crm/companies/{company},crm.companies.show,CRM,public,,
RT-136,PATCH,crm/companies/{company},crm.companies.update,CRM,public,,
RT-137,DELETE,crm/companies/{company},crm.companies.destroy,CRM,public,,
RT-138,GET,crm/contacts,crm.contacts.index,CRM,public,,
RT-139,POST,crm/contacts,crm.contacts.store,CRM,public,,journey-test
RT-140,GET,crm/contacts/export,crm.contacts.export,CRM,public,,
RT-141,GET,crm/contacts/import,crm.contacts.import,CRM,public,,
RT-142,POST,crm/contacts/import,crm.contacts.import.store,CRM,public,,
RT-143,POST,crm/contacts/import/preview,crm.contacts.import.preview,CRM,public,,
RT-144,GET,crm/contacts/{contact},crm.contacts.show,CRM,public,,
RT-145,PATCH,crm/contacts/{contact},crm.contacts.update,CRM,public,,
RT-146,DELETE,crm/contacts/{contact},crm.contacts.destroy,CRM,public,,
RT-147,GET,crm/deals,crm.deals.index,CRM,public,,
RT-148,POST,crm/deals,crm.deals.store,CRM,public,,
RT-149,GET,crm/deals/{deal},crm.deals.show,CRM,public,,
RT-150,PATCH,crm/deals/{deal},crm.deals.update,CRM,public,,journey-test
RT-151,DELETE,crm/deals/{deal},crm.deals.destroy,CRM,public,,
RT-152,PATCH,crm/deals/{deal}/stage,crm.deals.stage,CRM,public,,journey-test
RT-153,GET,crm/leads,crm.leads.index,CRM,public,,
RT-154,POST,crm/leads,crm.leads.store,CRM,public,,journey-test
RT-155,PATCH,crm/leads/{lead},crm.leads.update,CRM,public,,
RT-156,DELETE,crm/leads/{lead},crm.leads.destroy,CRM,public,,
RT-157,POST,crm/leads/{lead}/convert,crm.leads.convert,CRM,public,,journey-test
RT-158,GET,dashboard,dashboard,Dashboard,public,,
RT-159,GET,e/c/{token},public.track.click,Email Tracking,public,,
RT-160,GET,e/o/{token},public.track.open,Email Tracking,public,,
RT-161,GET,e/u/{token},public.track.unsubscribe.show,Email Tracking,public,,
RT-162,POST,e/u/{token},public.track.unsubscribe,Email Tracking,public,,
RT-163,POST,email/verification-notification,verification.send,Auth,public,,
RT-164,GET,f/{slug},public.form.show,Public Forms,public,,
RT-165,POST,f/{slug},public.form.submit,Public Forms,public,,
RT-166,GET,forgot-password,password.request,Auth,public,,
RT-167,POST,forgot-password,password.email,Auth,public,,
RT-168,GET,health,health,Ops,public,,
RT-169,POST,impersonate/stop,impersonate.stop,Platform Admin,public,,
RT-170,GET,invitations/{token},invitations.show,Invitations,public,,
RT-171,POST,invitations/{token},invitations.accept,Invitations,public,,journey-test
RT-172,GET,login,login,Auth,public,,
RT-173,POST,login,,Auth,public,,
RT-174,POST,logout,logout,Auth,public,,journey-test
RT-175,GET,marketing,marketing.dashboard,Marketing,public,,
RT-176,GET,marketing/automation,marketing.automation.index,Marketing,public,,
RT-177,POST,marketing/automation,marketing.automation.store,Marketing,public,,
RT-178,GET,marketing/automation/{workflow},marketing.automation.show,Marketing,public,,
RT-179,PATCH,marketing/automation/{workflow},marketing.automation.update,Marketing,public,,
RT-180,DELETE,marketing/automation/{workflow},marketing.automation.destroy,Marketing,public,,
RT-181,POST,marketing/automation/{workflow}/steps,marketing.automation.steps.add,Marketing,public,,
RT-182,DELETE,marketing/automation/{workflow}/steps/{step},marketing.automation.steps.delete,Marketing,public,,
RT-183,POST,marketing/automation/{workflow}/toggle,marketing.automation.toggle,Marketing,public,,
RT-184,GET,marketing/campaigns,marketing.campaigns.index,Marketing,public,,
RT-185,POST,marketing/campaigns,marketing.campaigns.store,Marketing,public,,journey-test
RT-186,GET,marketing/campaigns/{campaign},marketing.campaigns.show,Marketing,public,,
RT-187,PATCH,marketing/campaigns/{campaign},marketing.campaigns.update,Marketing,public,,
RT-188,DELETE,marketing/campaigns/{campaign},marketing.campaigns.destroy,Marketing,public,,
RT-189,POST,marketing/campaigns/{campaign}/send,marketing.campaigns.send,Marketing,public,,
RT-190,GET,marketing/forms,marketing.forms.index,Marketing,public,,
RT-191,POST,marketing/forms,marketing.forms.store,Marketing,public,,
RT-192,PATCH,marketing/forms/{form},marketing.forms.update,Marketing,public,,
RT-193,DELETE,marketing/forms/{form},marketing.forms.destroy,Marketing,public,,
RT-194,POST,marketing/forms/{form}/publish,marketing.forms.publish,Marketing,public,,
RT-195,GET,marketing/funnels,marketing.funnels.index,Marketing,public,,
RT-196,POST,marketing/funnels,marketing.funnels.store,Marketing,public,,
RT-197,DELETE,marketing/funnels/{funnel},marketing.funnels.destroy,Marketing,public,,
RT-198,GET,marketing/landing-pages,marketing.landing-pages.index,Marketing,public,,
RT-199,POST,marketing/landing-pages,marketing.landing-pages.store,Marketing,public,,
RT-200,PATCH,marketing/landing-pages/{landingPage},marketing.landing-pages.update,Marketing,public,,
RT-201,DELETE,marketing/landing-pages/{landingPage},marketing.landing-pages.destroy,Marketing,public,,
RT-202,POST,marketing/landing-pages/{landingPage}/publish,marketing.landing-pages.publish,Marketing,public,,
RT-203,GET,marketing/lists,marketing.lists.index,Marketing,public,,
RT-204,POST,marketing/lists,marketing.lists.store,Marketing,public,,
RT-205,GET,marketing/lists/{list},marketing.lists.show,Marketing,public,,
RT-206,PATCH,marketing/lists/{list},marketing.lists.update,Marketing,public,,
RT-207,DELETE,marketing/lists/{list},marketing.lists.destroy,Marketing,public,,
RT-208,POST,marketing/lists/{list}/contacts,marketing.lists.contacts.add,Marketing,public,,
RT-209,DELETE,marketing/lists/{list}/contacts/{contact},marketing.lists.contacts.remove,Marketing,public,,
RT-210,POST,notifications/read-all,notifications.read-all,Notifications,public,,
RT-211,POST,notifications/{id}/read,notifications.read,Notifications,public,,
RT-212,POST,organizations,organizations.store,Organizations,public,,journey-test
RT-213,GET,organizations/create,organizations.create,Organizations,public,,
RT-214,POST,organizations/{organization}/switch,organizations.switch,Organizations,public,,
RT-215,GET,p/{slug},public.landing.show,Public Pages,public,,
RT-216,GET,platform,platform.dashboard,Platform Admin,public,,feature-tests
RT-217,GET,platform/ai,platform.ai,Platform Admin,public,,feature-tests
RT-218,POST,platform/ai,platform.ai.save,Platform Admin,public,,feature-tests
RT-219,POST,platform/ai/test,platform.ai.test,Platform Admin,public,,feature-tests
RT-220,GET,platform/announcements,platform.announcements,Platform Admin,public,,feature-tests
RT-221,POST,platform/announcements,platform.announcements.store,Platform Admin,public,,feature-tests
RT-222,GET,platform/flags,platform.flags,Platform Admin,public,,feature-tests
RT-223,POST,platform/flags,platform.flags.save,Platform Admin,public,,feature-tests
RT-224,POST,platform/impersonate/{user},platform.impersonate.start,Platform Admin,public,,feature-tests
RT-225,GET,portal,portal.dashboard,Client Portal,public,,
RT-226,POST,portal/deliverables/{deliverable}/approve,portal.deliverables.approve,Client Portal,public,,
RT-227,POST,portal/deliverables/{deliverable}/reject,portal.deliverables.reject,Client Portal,public,,
RT-228,GET,portal/projects,portal.projects,Client Portal,public,,
RT-229,GET,portal/support,portal.support,Client Portal,public,,
RT-230,POST,portal/support/tickets,portal.support.tickets.store,Client Portal,public,,
RT-231,GET,projects,projects.index,Projects,public,,
RT-232,POST,projects,projects.store,Projects,public,,
RT-233,POST,projects/deliverables/{deliverable}/approve,projects.deliverables.approve,Projects,public,,
